Start Date Month,Start Date Dayofweek,Start Date is weekend,Start Date quarter,lag_1_sessions,lag_7_sessions,rolling_7_mean,rolling_7_std
11,6,1,4,1.0,3.0,2.0,1.290994448735908
11,6,1,4,1.0,2.0,1.8571428571428572,0.8997354108424372
11,6,1,4,3.0,5.0,3.4285714285714284,0.9759000729485319
11,6,1,4,4.0,3.0,4.285714285714286,0.9511897312113282
11,0,0,4,1.0,1.0,1.7142857142857142,1.253566341056128
11,0,0,4,2.0,2.0,2.4285714285714284,0.7867957924694586
11,0,0,4,2.0,1.0,1.8571428571428572,0.8997354108424372
11,0,0,4,1.0,2.0,2.857142857142857,1.0690449676496965
11,0,0,4,2.0,4.0,4.142857142857143,1.2149857925878982
11,1,0,4,2.0,1.0,2.0,0.8164965809277259
11,1,0,4,4.0,4.0,3.142857142857143,1.0690449676496965
11,1,0,4,1.0,2.0,2.2857142857142856,0.9511897312113525
11,1,0,4,2.0,4.0,3.857142857142857,1.463850109422784
11,2,0,4,3.0,6.0,3.7142857142857144,1.4960264830861736
11,2,0,4,1.0,1.0,1.7142857142857142,1.253566341056128
11,2,0,4,2.0,3.0,2.857142857142857,1.0690449676496965
11,2,0,4,1.0,2.0,2.142857142857143,1.0690449676497051
11,2,0,4,1.0,2.0,2.0,0.8164965809277259
11,3,0,4,2.0,3.0,1.8571428571428572,1.214985792588023
11,3,0,4,2.0,4.0,3.142857142857143,1.2149857925878789
11,3,0,4,2.0,4.0,2.142857142857143,1.0690449676497051
11,3,0,4,2.0,4.0,2.7142857142857144,1.1126972805283726
11,4,0,4,1.0,3.0,1.8571428571428572,0.8997354108424371
11,4,0,4,1.0,3.0,1.7142857142857142,0.7559289460184573
11,4,0,4,2.0,3.0,2.4285714285714284,0.9759000729485321
11,4,0,4,1.0,4.0,1.5714285714285714,1.1338934190278065
11,4,0,4,4.0,5.0,3.142857142857143,1.2149857925878789
11,5,1,4,3.0,3.0,2.4285714285714284,0.9759000729485321
11,5,1,4,1.0,1.0,1.1428571428571428,0.37796447300962727
